ID	Names	row.names	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
1	PcearIPU	Ipu1	-0.507890878	-0.173713852	-0.95564112	-1.035980046	-0.611353643	-0.811655598	-0.7647218	-0.95667621	-0.88589612	-0.85508326	-0.889078831	-0.53294523	-0.853737433	-0.850438505	-1.1121592	-1.05637924	-0.79039446	-0.780614542
2	PcearIPU	Ipu2	-0.588700886	-0.517618145	-1.093835966	-1.32029596	-0.604834943	-0.743650401	-0.6059586	-0.90891543	-0.813011754	-0.78555626	-0.619058521	-0.59770048	-0.834152865	-0.95576071	-0.58268848	-0.78750781	-0.448588885	-1.002657188
3	PcearIPU	Ipu3	-0.968652878	-0.57182141	-1.11841771	-0.87089929	-0.859928174	-0.8868602	-0.8403437	-1.21172862	-0.959967082	-0.92517007	-0.666234738	-0.95571517	-0.674187311	-0.542865688	-1.37211547	-0.92920963	-0.931224225	-1.36583253
4	PcearIPU	Ipu4	-0.715079768	-0.374750677	-1.059545466	-0.847198671	-1.063500112	-0.450128687	-0.9928766	-1.06767254	-0.95330389	-0.73125578	-0.903552096	-0.91440579	-0.873920003	-0.033441965	-0.94940047	-1.03789305	-0.936798737	-0.818770939
5	PcearIPU	Ipu5	-0.760920423	-0.213242575	-0.805120973	-1.024175491	-0.650387305	-0.788111596	-0.8326097	-1.05057995	-1.259810718	-0.85597894	-0.707334392	-1.47226859	-0.324505598	-1.349669756	-1.18364381	-0.8959088	-0.820516382	-0.88267141
6	PcearIPU	Ipu6	-0.188818175	-0.357916818	-1.124545932	-1.050163814	-0.654157156	-1.096907724	-1.1323046	-1.11895031	-1.339860298	-0.63620195	-1.248921772	-0.7357706	-1.019683009	-1.69981113	-1.31234303	-0.94689989	-0.849171327	-0.740159567
7	PcearIPU	Ipu7	-0.13518642	-0.321472834	-1.151606507	-1.029482965	-0.638999215	-0.864094512	-0.9892244	-1.07337007	-1.093596027	-0.75443145	-0.767547595	-0.72088433	-0.724718486	-0.932577834	-1.4014632	-1.09435297	-1.167407477	-0.9824297
8	PcearIPU	Ipu8	-0.427624434	-0.829397087	-1.140314054	-0.967989468	-0.791521091	-0.602775545	-0.889541	-0.87951336	-1.186059224	-0.87781109	-1.041987222	-1.30517026	-0.843870399	-1.439003771	-0.92166821	-0.92281649	-0.868633219	-1.031159557
9	PcearIPU	Ipu9	-0.817994756	-0.035032816	-1.020435016	-1.162261334	-0.906815692	-0.662705732	-0.7477498	-0.92621904	-0.77873739	-0.81948006	-0.789975632	-0.59249029	-0.694967883	0.181199493	-1.22443446	-0.79033209	-0.565947022	-1.434789874
10	PcearIPU	Ipu10	-0.92752312	-0.184686709	-0.685104223	-1.042202602	-0.53367901	-0.904761425	-0.6729872	-1.17817649	-0.936737187	-0.8825134	-0.635741446	-0.62226282	-0.882740534	-0.363598101	-0.41562181	-1.04171867	-0.54971248	-0.612818339
