	Cleitro	Adiposa	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SnL	OD	IW					
PcearPAR	Intermédiario	Presente	17.66380135	38.88256638	29.10695091	19.90591783	22.0762315	25.35391741	9.146229098	33.4932982	46.21709612	44.16176222	49.83328394	16.86769625	32.94441739					
PcearIPU	Intermédiario	Presente	17.95209922	36.73095338	28.79111495	18.27777813	23.50215752	25.68447978	9.283538142	29.23354677	47.91690756	46.35272722	51.63467127	18.64762713	34.02616868					
PcearJAG	Intermédiario	Presente	17.75900182	30.8416398	28.87145146	19.14816574	23.35974452	24.85799371	9.217117639	30.03780762	46.67259472	54.59968615	58.06174475	20.78306502	39.30428578					
PcearPBN	Intermédiario	Presente	17.40351087	28.30293659	29.55227183	19.15419093	21.7173254	25.10168258	8.694771851	30.80337038	47.08886627	58.72291173	63.3492465	24.13178687	44.36549463					
PcearPIA	Intermédiario	Presente	16.11098894	28.21690405	28.82402059	20.97972843	22.6573294	24.35469913	8.890598722	30.65464079	49.14840604	57.19599152	64.97645348	24.23262712	41.15526937					
PcearSFR	Intermédiario	Presente	18.10353487	31.11339858	28.31971497	19.39558637	23.63958128	22.31525411	9.053788806	29.16091944	45.94981925	55.97922462	58.24727298	18.91048841	39.60082969					
PsomaPBN	Exposto	Presente	18.47285394	36.90117144	29.17330178	19.1682005	22.46374997	23.89924415	9.063097248	28.88016303	47.23451924	46.55510334	51.31812557	17.16237651	35.19560532					
PcfsoIPO	Exposto	Presente	19.06755855	34.91716578	25.876226	17.84464741	22.96522723	21.46766322	8.351571274	31.02685443	45.03867956	46.78652265	49.95285469	16.31534603	31.92729515					
PcesaPBM	Exposto	Presente	18.0143483	35.32675953	27.19146028	17.52172245	24.05496236	22.27833061	9.308205035	29.27412738	44.85200778	45.53926219	51.16329214	16.59625229	32.6419077					
PcfsoMAM	Exposto	Presente	17.85777499	31.22164915	22.89232516	18.75435506	20.51362421	15.58980288	9.635472385	31.92813358	39.56614236	49.59903183	56.74170886	14.44870661	23.91790946					
PbahiITA	Exposto	Presente	16.85	28.98	26.14	17.01	21.64	21.64	9.32	28.59	46.17	46.2	65.29	22.44	43.51					
PjumbJAG	Coberto	Presente	15.56839087	33.56625942	26.04058188	17.65705696	20.47629094	19.81338835	9.449616122	28.42665649	42.40730239	46.80501843	51.87214303	18.4789163	25.27248313					
PjumbPIA	Coberto	Presente	14.30067576	31.61039585	25.16714857	18.91260413	21.50392065	16.97433256	9.528459839	30.65458944	39.31825782	44.62403637	52.17548869	17.46574145	24.02801027					
PjumbPBN	Coberto	Presente	17.05157027	32.46768746	23.90227885	18.72031476	21.64481856	19.597213	9.066592429	32.44685928	41.57777048	48.56917066	49.69125275	17.04441593	24.59508304					
PjumbIPO	Coberto	Presente	19.24534993	31.52411931	23.93178811	17.23687047	22.49338405	17.48752765	9.171656906	34.7009085	40.99917413	52.45505711	54.16403762	14.54366549	24.05512064					
PjumbPBM	Coberto	Presente	19.15640453	32.47603106	24.006991	16.46994302	20.61076738	15.67767509	9.079508058	32.2040788	40.8728037	50.68641527	53.37180437	14.45717076	24.86942629					
PjumbSFR	Coberto	Presente	16.03668838	33.87559982	26.87840054	17.90819185	20.74773434	20.71849166	8.729176244	28.99620614	43.6349011	46.09334791	49.14359024	16.68386466	23.45995876					
PharoPAR	Exposto	Ausente	16.88143036	35.90678509	26.10199621	16.91791784	21.79273395	23.57194856	9.542867226	32.82636375	43.50465252	45.91172236	49.84777014	15.56301935	37.7842494					
PcabePAR	Exposto	Ausente	16.43290687	36.40607009	25.47586356	15.65536604	21.76000187	23.60575962	9.694506013	33.76531454	44.63048932	44.4230674	53.17761187	13.35327748	38.34700743					
PspluJAG	Exposto	Ausente	17.10017805	35.02816712	27.03573407	17.81050594	21.35520465	24.11520491	10.29788523	29.55420299	45.04289349	46.61786675	54.68767267	14.72961715	37.45553281					
PseriPIA	Intermédiario	Ausente	17.10259126	35.58038602	27.44960469	16.4068353	21.11721335	24.42766084	10.75113206	31.23039831	46.64712872	45.55996263	53.33303292	15.62806893	37.03573312					
PmacuRJ	Exposto	Presente	17.6	33.5	23.8	17.2	22.1	28.6	10	29	45.8	50	52.8	15.6	41.4					
HvespSFR	Exposto	Ausente	15.7	36.1	23.2	16.5	21.6	26	7.4	38.6	45.8	42	48.7	15.5	37.1					
