Nome	Ind	Bacia	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
PjumbJAG1	1	JAG	3.458196569	7.65182214	5.790377788	4.591031125	4.627128862	4.389978244	2.1221957	6.964847295	9.971553692	3.57130138	3.924553246	1.461222394	1.961062515	2.851393017	4.175520435	17.24004978	5.833058405	1.385075513
PjumbJAG2	2	JAG	3.56385934	7.796067224	5.760114101	3.727112466	4.3915597	4.696329733	2.157883832	7.484766604	10.01925275	3.526312987	3.933668675	1.341676752	1.970824148	3.531022642	4.421824565	16.78989665	5.520381368	1.356202854
PjumbJAG3	3	JAG	3.537213956	7.731332284	6.004223698	4.441383307	4.74427904	4.585972461	2.272991886	6.54938826	9.928326575	3.48691487	4.074814897	1.519069363	1.835573088	3.508339528	4.69394594	16.39048479	5.80476233	1.387944555
PjumbJAG4	4	JAG	3.478899664	7.39399164	5.953758881	4.415005834	4.943925939	4.552987113	2.082128552	5.644994347	9.41713354	3.376381018	3.768720398	1.437687858	1.980952266	3.536223243	4.372483036	16.15656569	5.64604713	1.456591117
PjumbJAG5	5	JAG	3.489686548	7.824104883	6.003711671	4.226517237	4.873109717	4.519579113	2.199646643	6.284486636	9.814326209	3.829935782	3.906315742	1.38935196	1.870575999	3.12568489	4.605970296	17.06270427	5.675271454	1.207035407
PjumbJAG6	6	JAG	3.566541262	7.680794061	6.075370364	4.214739925	4.978332923	4.570141556	2.123828035	5.878655739	9.61796866	3.621103758	3.904261192	1.448679213	1.90331498	3.421915278	4.48448473	16.42633278	5.699537865	1.340839907
PjumbJAG7	7	JAG	4.085482565	7.954383617	6.245799208	3.965529551	4.728754531	4.569029933	2.468443529	6.968888104	9.817925295	3.892108524	4.377061516	1.436141068	2.025337823	3.391651185	4.544948842	17.94026954	5.907341341	1.663643547
PjumbJAG8	8	JAG	3.324873709	8.206071282	6.596427549	3.750049957	4.72867493	5.247017633	2.329866665	7.332382088	10.33394871	3.551266804	4.421739093	1.423400077	2.31639805	3.347328862	4.867052063	17.22887153	5.748130524	1.523402019
PjumbJAG9	9	JAG	4.015997466	8.030646981	6.131000932	3.666327926	4.924322234	4.352640125	2.010901817	6.545789633	9.703470796	4.059202315	4.178643692	1.513977136	1.881809292	3.181985454	3.8486818	17.20055211	5.941970944	1.49450103
PjumbPIA1	10	PIA	4.260609788	9.544769448	7.769178856	5.761888971	6.421467717	4.406682244	3.197645961	9.490131694	12.31032608	4.040859143	4.860015296	1.62902753	2.229676708	3.594347658	4.769363935	22.36365593	6.62836495	1.461650851
PjumbPIA2	11	PIA	4.615172867	9.592127275	7.631187688	6.13708183	6.593127814	4.785957594	3.076106276	9.038538027	11.7656895	4.755520507	4.956694399	1.665777045	2.498333734	3.771054763	5.323352252	21.56975735	7.517633857	1.142913274
PjumbPIA3	12	PIA	3.672628629	9.499818911	7.533235089	5.245013041	5.829070174	5.320606938	2.948804623	8.701799902	11.48427347	4.28496463	5.04731971	1.622866233	2.227982035	3.759053107	5.304508436	21.13824378	7.627894764	1.302767793
PjumbPIA4	13	PIA	3.876706078	9.691765194	7.440181793	5.698779024	6.785377268	5.121088619	2.777068885	8.829939021	10.9765277	4.114104585	4.888417665	1.700164499	2.145914365	3.718039062	5.159806473	21.14280275	6.884398016	1.111388149
